 sr_no,    player_name,    base_price,   sold_price,,,,
1,Noor Ahmad ,20000000,100000000,,,,
2,R Ashwin,20000000,97500000,,,,
3,DP Conway,20000000,62500000,,,,
4,Syed Khaleel Ahmed,20000000,48000000,,,,
5,R Ravindra,15000000,40000000,,,,
6,A Kamboj,3000000,34000000,,,,
7,RA Tripathi,7500000,34000000,,,,
8,SM Curran,20000000,24000000,,,,
9,Gurjapneet Singh,3000000,22000000,,,,
10,NT Ellis,12500000,20000000,,,,
11,DJ Hooda,7500000,17000000,,,,
12,J Overton,15000000,15000000,,,,
13,V Shankar,3000000,12000000,,,,
14,Vansh Bedi,3000000,5500000,,,,
15,Andre Siddarth,3000000,3000000,,,,
16,Shreyas Gopal,3000000,3000000,,,,
17,Ramakrishna Ghosh,3000000,3000000,,,, 
18,Kamlesh Nagarkoti,3000000,3000000,,,,
19,Mukesh Choudhary,3000000,3000000,,,,
20,SK Rasheed,3000000,3000000,,,,
21,KL Rahul,20000000,140000000,,,,
22,MA Starc,20000000,117500000,,,,
23,T Natarajan,20000000,107500000,,,,
24,J Fraser-McGurk,20000000,90000000,,,,
25,Mukesh Kumar,20000000,80000000,,,,
26,Harry Brook ,20000000,62500000,,,,
27,Ashutosh Sharma,3000000,38000000,,,,
28,MM Sharma,5000000,22000000,,,,
29,F du Plessis,20000000,20000000,,,,
30,Sameer Rizvi,3000000,9500000,,,,
31,D Ferreira,7500000,7500000,,,,
32,Dushmantha Chameera ,7500000,7500000,,,,
33,V Nigam,3000000,5000000,,,,
34,KK Nair,3000000,5000000,,,,
35,M Tiwari,3000000,4000000,,,,
36,Tripurana Vijay,3000000,3000000,,,,
37,Manvanth Kumar L,3000000,3000000,,,,
38,Ajay Mandal,3000000,3000000,,,,
39,Darshan Nalkande,3000000,3000000,,,,
40,JC Buttler,20000000,157500000,,,,
41,Mohammed Siraj,20000000,122500000,,,,
42,K Rabada,20000000,107500000,,,,
43,M Prasidh Krishna,20000000,95000000,,,,
44,Washington Sundar,20000000,32000000,,,,
45,SE Rutherford,15000000,26000000,,,,
46,G Coetzee,12500000,24000000,,,,
47,Glenn Phillips ,20000000,20000000,,,,
48,R Sai Kishore,7500000,20000000,,,,
49,Mahipal Lomror,5000000,17000000,,,,
50,Gurnoor Singh Brar,3000000,13000000,,,,
51,Mohd. Arshad Khan,3000000,13000000,,,,
52,Karim Janat ,7500000,7500000,,,,
53,Jayant Yadav,7500000,7500000,,,,
54,I Sharma,7500000,7500000,,,,
55,Kumar Kushagra,3000000,6500000,,,,
56,K Khejroliya,3000000,3000000,,,,
57,Manav Suthar,3000000,3000000,,,,
58,Anuj Rawat,3000000,3000000,,,,
59,Nishant Sindhu,3000000,3000000,,,,
60,VR Iyer,20000000,237500000,,,,
61,A Nortje,20000000,65000000,,,,
62,Q de Kock,20000000,36000000,,,,
63,A Raghuvanshi,3000000,30000000,,,,
64,SH Johnson,20000000,28000000,,,,
65,MM Ali,20000000,20000000,,,,
66,Rahmanullah Gurbaz ,20000000,20000000,,,,
67,VG Arora,3000000,18000000,,,,
68,AM Rahane,15000000,15000000,,,,
69,R Powell,15000000,15000000,,,,
70,Umran Malik,7500000,7500000,,,,
71,MK Pandey,7500000,7500000,,,,
72,AS Roy,3000000,4000000,,,,
73,Luvnith Sisodia,3000000,3000000,,,,
74,Mayank Markande,3000000,3000000,,,,
75,RR Pant,20000000,270000000,,,,
76,Avesh Khan,20000000,97500000,,,,
77,Akash Deep,10000000,80000000,,,,
78,DA Miller,15000000,75000000,,,,
79,Abdul Samad,3000000,42000000,,,,
80,MR Marsh,20000000,34000000,,,,
81,Shahbaz Ahmed,10000000,24000000,,,,
82,AK Markram,20000000,20000000,,,,
83,MP Breetzke,7500000,7500000,,,,
84,Shamar Joseph ,7500000,7500000,,,,
85,M Siddharth,3000000,7500000,,,,
86,Arshin Kulkarni,3000000,3000000,,,,
87,Rajvardhan Hangargekar,3000000,3000000,,,,
88,Yuvraj Chaudhary,3000000,3000000,,,,
89,Prince Yadav,3000000,3000000,,,,
90,Akash Singh,3000000,3000000,,,,
91,Digvesh Singh,3000000,3000000,,,,
92,Himmat Singh,3000000,3000000,,,,
93,Aryan Juyal,3000000,3000000,,,,
94,TA Boult,20000000,125000000,,,,
95,DL Chahar,20000000,92500000,,,,
96,WG Jacks,20000000,52500000,,,,
97,Naman Dhir,3000000,52500000,,,,
98,Allah Ghazanfar ,7500000,48000000,,,,
99,MJ Santner,20000000,20000000,,,,
100,RD Rickelton,10000000,10000000,,,,
101,Lizaad Williams ,7500000,7500000,,,,
102,RJW Topley,7500000,7500000,,,,
103,R Minz,3000000,6500000,,,,
104,KV Sharma,5000000,5000000,,,,
105,VR Iyer,3000000,3000000,,,,
106,Arjun Tendulkar,3000000,3000000,,,,
107,Bevan John Jacobs ,3000000,3000000,,,,
108,Venkata Satyanarayana Penmetsa,3000000,3000000,,,,
109,RA Bawa,3000000,3000000,,,,
110,Shrijith Krishnan,3000000,3000000,,,,
111,Ashwani Kumar,3000000,3000000,,,,
112,SS Iyer,20000000,267500000,,,,
113,YS Chahal,20000000,180000000,,,,
114,Arshdeep Singh,20000000,180000000,,,,
115,MP Stoinis,20000000,110000000,,,,
116,M Jansen,12500000,70000000,,,,
117,N Wadhera,3000000,42000000,,,,
118,GJ Maxwell,20000000,42000000,,,,
119,Priyansh Arya,3000000,38000000,,,,
120,JP Inglis,20000000,26000000,,,,
121,Azmatullah Omarzai ,15000000,24000000,,,,
122,LH Ferguson,20000000,20000000,,,,
123,Vijaykumar Vyshak,3000000,18000000,,,,
124,Yash Thakur,3000000,16000000,,,,
125,Harpreet Brar,3000000,15000000,,,,
126,Aaron Hardie ,12500000,12500000,,,,
127,Vishnu Vinod,3000000,9500000,,,,
128,XC Bartlett,7500000,8000000,,,,
129,Kuldeep Sen,7500000,8000000,,,,
130,Pravin Dubey,3000000,3000000,,,,
131,Pyla Avinash,3000000,3000000,,,,
132,Suryansh Shedge,3000000,3000000,,,,
133,Musheer Khan,3000000,3000000,,,,
134,Harnoor Pannu,3000000,3000000,,,,
135,JC Archer,20000000,125000000,,,,
136,TU Deshpande,10000000,65000000,,,,
137,Wanindu Hasaranga ,20000000,52500000,,,,
138,M Theekshana,20000000,44000000,,,,
139,N Rana,15000000,42000000,,,,
140,Fazalhaq Farooqi ,20000000,20000000,,,,
141,KT Maphaka,7500000,15000000,,,,
142,Akash Madhwal,3000000,12000000,,,,
143,V Suryavanshi,3000000,11000000,,,,
144,SB Dubey,3000000,8000000,,,,
145,Yudhvir Charak,3000000,3500000,,,,
146,Ashok Sharma,3000000,3000000,,,,
147,KS Rathore,3000000,3000000,,,,
148,K Kartikeya,3000000,3000000,,,,
149,JR Hazlewood,20000000,125000000,,,,
150,PD Salt,20000000,115000000,,,,
151,JM Sharma,10000000,110000000,,,,
152,B Kumar,20000000,107500000,,,,
153,LS Livingstone,20000000,87500000,,,,
154,Rasikh Salam,3000000,60000000,,,,
155,KH Pandya,20000000,57500000,,,,
156,TH David,20000000,30000000,,,,
157,JG Bethell,12500000,26000000,,,,
158,Suyash Sharma,3000000,26000000,,,,
159,D Padikkal,20000000,20000000,,,,
160,N Thushara,7500000,16000000,,,,
161,R Shepherd,15000000,15000000,,,,
162,L Ngidi,10000000,10000000,,,,
163,Swapnil Singh,3000000,5000000,,,,
164,Mohit Rathee,3000000,3000000,,,,
165,Abhinandan Singh,3000000,3000000,,,,
166,Swastik Chhikara,3000000,3000000,,,,
167,MS Bhandage,3000000,3000000,,,,
168,Ishan Kishan,20000000,112500000,,,,
169,Mohammed Shami,20000000,100000000,,,,
170,HV Patel,20000000,80000000,,,,
171,A Manohar,3000000,32000000,,,,
172,RD Chahar,10000000,32000000,,,,
173,A Zampa,20000000,24000000,,,,
174,Simarjeet Singh,3000000,15000000,,,,
175,E Malinga,3000000,12000000,,,,
176,Brydon Carse ,10000000,10000000,,,,
177,JD Unadkat,10000000,10000000,,,,
178,Kamindu Mendis ,7500000,7500000,,,,
179,Zeeshan Ansari,3000000,4000000,,,,
180,Sachin Baby,3000000,3000000,,,,
181,Aniket Verma,3000000,3000000,,,,
182,Atharva Taide,3000000,3000000,,,,
183,V Kohli,0,210000000,,,,
184,RM Patidar,0,110000000,,,,
185,Yash Dayal,0,50000000,,,,
186,RK Singh,0,130000000,,,,
187,Varun Chakaravarthy,0,120000000,,,,
188,SP Narine,0,120000000,,,,
189,AD Russell,0,120000000,,,,
190,Ramandeep Singh,0,40000000,,,,
191,Harshit Rana,0,40000000,,,,
192,Shashank Singh,0,55000000,,,,
193,P Simran Singh,0,40000000,,,,
194,R Ravindra,0,180000000,,,,
195,RD Gaikwad,0,180000000,,,,
196,M Pathirana,0,130000000,,,,
197,S Dube,0,120000000,,,,
198,MS Dhoni,0,40000000,,,,
199,AR Patel,0,165000000,,,,
200,Kuldeep Yadav,0,132500000,,,,
201,T Stubbs,0,100000000,,,,
202,Abishek Porel,0,40000000,,,,
203,SV Samson,0,180000000,,,,
204,YBK Jaiswal,0,180000000,,,,
205,R Parag,0,140000000,,,,
206,Dhruv Jurel,0,140000000,,,,
207,SO Hetmyer,0,110000000,,,,
208,Sandeep Sharma,0,40000000,,,,
209,JJ Bumrah,0,180000000,,,,
210,HH Pandya,0,163500000,,,,
211,SA Yadav,0,163500000,,,,
212,RG Sharma,0,163000000,,,,
213,Tilak Varma,0,80000000,,,,
214,H Klaasen,0,230000000,,,,
215,PJ Cummins,0,180000000,,,,
216,TM Head,0,140000000,,,,
217,Abhishek Sharma,0,140000000,,,,
218,Nithish Kumar Reddy,0,60000000,,,,
219,Rashid Khan,0,180000000,,,,
220,Shubman Gill,0,165000000,,,,
221,B Sai Sudharsan,0,85000000,,,,
222,R Tewatia,0,40000000,,,,
223,MP Yadav,0,110000000,,,,
224,Mohsin Khan,0,40000000,,,,
225,A Badoni,0,40000000,,,,
226,Shahrukh Khan,0,40000000,,,,
227,D Brevis,0,22000000,,,,
